,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
82,-0.3568,-0.3929,-0.3770,-0.3472,-0.3348,-0.2468,-0.3014,-0.1681,-0.2102,-0.7107,-0.5888,-0.7041,-0.7594,-0.8097,-0.4450,-0.5772,-0.3241,-0.1961,-0.2844,-0.2859,-0.2929,-0.2888,-0.2801,-0.2073,-0.2437,-0.1447,-0.2361,-0.6720,-0.5613,-0.6655,-0.7105,-1.0013,-0.4337,-0.5509,-0.4117,-0.2360,-0.3558,-0.4517,-0.3928,-0.3199,-0.3049,-0.2231,-0.2931,-0.1441,-0.0591,-0.6742,-0.5515,-0.6686,-0.7328,-0.3911,-0.4015,-0.5395,-0.1392,-0.1050
83,-0.3582,-0.3980,-0.3778,-0.3483,-0.3302,-0.2299,-0.2935,-0.1661,-0.2226,-0.7275,-0.6079,-0.7187,-0.7741,-0.8521,-0.4075,-0.5618,-0.3263,-0.2070,-0.2846,-0.2890,-0.2928,-0.2877,-0.2750,-0.1970,-0.2373,-0.1428,-0.2444,-0.6858,-0.5716,-0.6785,-0.7238,-0.9399,-0.4089,-0.5433,-0.3744,-0.2479,-0.3594,-0.4592,-0.3952,-0.3254,-0.3035,-0.1992,-0.2855,-0.1428,-0.0749,-0.6936,-0.5817,-0.6835,-0.7475,-0.5937,-0.3488,-0.5136,-0.2042,-0.1130
84,-0.3552,-0.3978,-0.3735,-0.3457,-0.3223,-0.2084,-0.2846,-0.1660,-0.2318,-0.7349,-0.6214,-0.7243,-0.7791,-0.8762,-0.3604,-0.5452,-0.3200,-0.2180,-0.2811,-0.2885,-0.2889,-0.2835,-0.2676,-0.1830,-0.2302,-0.1428,-0.2494,-0.6924,-0.5783,-0.6855,-0.7286,-0.8929,-0.3792,-0.5341,-0.3398,-0.2624,-0.3588,-0.4597,-0.3918,-0.3273,-0.2982,-0.1707,-0.2766,-0.1426,-0.0894,-0.7013,-0.6044,-0.6862,-0.7520,-0.7283,-0.2806,-0.4876,-0.2441,-0.1169
85,-0.3456,-0.3914,-0.3619,-0.3382,-0.3110,-0.1813,-0.2751,-0.1680,-0.2378,-0.7310,-0.6287,-0.7188,-0.7723,-0.8833,-0.3031,-0.5280,-0.3134,-0.2297,-0.2727,-0.2841,-0.2798,-0.2759,-0.2579,-0.1646,-0.2223,-0.1446,-0.2501,-0.6908,-0.5856,-0.6851,-0.7227,-0.8972,-0.3431,-0.5228,-0.3324,-0.2765,-0.3509,-0.4518,-0.3801,-0.3237,-0.2882,-0.1369,-0.2677,-0.1441,-0.1042,-0.6943,-0.6107,-0.6733,-0.7449,-0.7388,-0.1973,-0.4632,-0.2397,-0.1230
86,-0.3319,-0.3777,-0.3456,-0.3260,-0.2962,-0.1495,-0.2651,-0.1719,-0.2405,-0.7132,-0.6275,-0.7005,-0.7509,-0.8587,-0.2359,-0.5102,-0.3087,-0.2427,-0.2608,-0.2748,-0.2670,-0.2645,-0.2460,-0.1421,-0.2141,-0.1478,-0.2467,-0.6795,-0.5928,-0.6762,-0.7039,-0.9031,-0.3004,-0.5095,-0.3314,-0.2893,-0.3392,-0.4346,-0.3634,-0.3151,-0.2737,-0.0987,-0.2583,-0.1477,-0.1190,-0.6684,-0.5962,-0.6424,-0.7223,-0.6688,-0.1002,-0.4406,-0.2297,-0.1347
87,-0.3128,-0.3573,-0.3246,-0.3093,-0.2748,-0.1135,-0.2550,-0.1769,-0.2400,-0.6816,-0.6172,-0.6692,-0.7149,-0.8155,-0.1604,-0.4922,-0.3099,-0.2566,-0.2453,-0.2610,-0.2510,-0.2502,-0.2263,-0.1164,-0.2058,-0.1514,-0.2397,-0.6578,-0.5951,-0.6573,-0.6719,-0.9126,-0.2510,-0.4944,-0.3317,-0.3005,-0.3210,-0.4088,-0.3409,-0.3005,-0.2582,-0.0562,-0.2489,-0.1536,-0.1331,-0.6255,-0.5673,-0.5957,-0.6849,-0.5475,0.0066,-0.4206,-0.2323,-0.1509
88,-0.2897,-0.3311,-0.2978,-0.2884,-0.2521,-0.0746,-0.2455,-0.1822,-0.2368,-0.6357,-0.5958,-0.6244,-0.6636,-0.7556,-0.0787,-0.4749,-0.3171,-0.2715,-0.2269,-0.2433,-0.2309,-0.2330,-0.2078,-0.0887,-0.1977,-0.1548,-0.2302,-0.6244,-0.5869,-0.6268,-0.6268,-0.9201,-0.1953,-0.4784,-0.3276,-0.3111,-0.2980,-0.3757,-0.3114,-0.2808,-0.2366,-0.0103,-0.2405,-0.1609,-0.1453,-0.5658,-0.5278,-0.5343,-0.6307,-0.3879,0.1188,-0.4036,-0.2565,-0.1707
89,-0.2633,-0.3002,-0.2674,-0.2644,-0.2292,-0.0349,-0.2369,-0.1869,-0.2310,-0.5773,-0.5624,-0.5683,-0.5996,-0.6635,0.0056,-0.4592,-0.3273,-0.2872,-0.2065,-0.2220,-0.2083,-0.2140,-0.1908,-0.0612,-0.1902,-0.1571,-0.2190,-0.5798,-0.5636,-0.5849,-0.5707,-0.8512,-0.1349,-0.4634,-0.3271,-0.3220,-0.2702,-0.3374,-0.2775,-0.2568,-0.2107,0.0384,-0.2332,-0.1686,-0.1539,-0.4935,-0.4826,-0.4633,-0.5630,-0.2715,0.2294,-0.3890,-0.2824,-0.1918
90,-0.2350,-0.2669,-0.2355,-0.2384,-0.2060,0.0037,-0.2297,-0.1901,-0.2235,-0.5097,-0.5172,-0.5039,-0.5261,-0.5670,0.0884,-0.4459,-0.3404,-0.3034,-0.1852,-0.1985,-0.1843,-0.1938,-0.1740,-0.0357,-0.1836,-0.1580,-0.2079,-0.5255,-0.5242,-0.5328,-0.5074,-0.7817,-0.0725,-0.4521,-0.3327,-0.3333,-0.2389,-0.2977,-0.2424,-0.2295,-0.1841,0.0887,-0.2281,-0.1756,-0.1576,-0.4139,-0.4344,-0.3879,-0.4831,-0.1450,0.3335,-0.3743,-0.3057,-0.2137
91,-0.2068,-0.2341,-0.2039,-0.2120,-0.1831,0.0386,-0.2249,-0.1915,-0.2151,-0.4369,-0.4622,-0.4346,-0.4477,-0.4694,0.1639,-0.4369,-0.3527,-0.3204,-0.1645,-0.1743,-0.1601,-0.1735,-0.1582,-0.0146,-0.1786,-0.1572,-0.1986,-0.4643,-0.4708,-0.4731,-0.4409,-0.7051,-0.0118,-0.4504,-0.3427,-0.3443,-0.2071,-0.2605,-0.2087,-0.2015,-0.1556,0.1380,-0.2258,-0.1810,-0.1548,-0.3327,-0.3846,-0.3128,-0.3965,-0.0275,0.4223,-0.3548,-0.3200,-0.2378
92,-0.1804,-0.2039,-0.1749,-0.1865,-0.1613,0.0678,-0.2227,-0.1912,-0.2069,-0.3655,-0.4014,-0.3669,-0.3705,-0.3633,0.2276,-0.4331,-0.3619,-0.3378,-0.1457,-0.1510,-0.1374,-0.1542,-0.1441,0.0018,-0.1760,-0.1552,-0.1923,-0.4014,-0.4074,-0.4111,-0.3767,-0.5780,0.0420,-0.4613,-0.3493,-0.3539,-0.1757,-0.2288,-0.1789,-0.1738,-0.1267,0.1823,-0.2254,-0.1847,-0.1462,-0.2574,-0.3364,-0.2453,-0.3092,0.0303,0.4930,-0.3279,-0.3321,-0.2653
93,-0.1581,-0.1797,-0.1514,-0.1639,-0.1418,0.0886,-0.2238,-0.1898,-0.1966,-0.3008,-0.3409,-0.3052,-0.2963,-0.2715,0.2732,-0.4361,-0.3679,-0.3566,-0.1302,-0.1313,-0.1180,-0.1369,-0.1329,0.0122,-0.1774,-0.1523,-0.1845,-0.3425,-0.3417,-0.3524,-0.3130,-0.4650,0.0828,-0.4891,-0.3495,-0.3638,-0.1484,-0.2055,-0.1569,-0.1498,-0.0979,0.2168,-0.2254,-0.1871,-0.1350,-0.1925,-0.2924,-0.1875,-0.2288,0.0756,0.5400,-0.2909,-0.3463,-0.2958
94,-0.1420,-0.1645,-0.1344,-0.1439,-0.1252,0.1003,-0.2286,-0.1883,-0.1919,-0.2497,-0.2877,-0.2561,-0.2391,-0.1970,0.2969,-0.4476,-0.3705,-0.3771,-0.1156,-0.1184,-0.1044,-0.1204,-0.1247,0.0168,-0.1853,-0.1496,-0.1820,-0.2943,-0.2824,-0.3037,-0.2633,-0.3673,0.1049,-0.5343,-0.3487,-0.3744,-0.1364,-0.1920,-0.1401,-0.1311,-0.0700,0.2386,-0.2212,-0.1889,-0.1276,-0.1438,-0.2563,-0.1446,-0.1674,0.1027,0.5631,-0.2472,-0.3541,-0.3292
95,-0.1322,-0.1588,-0.1263,-0.1308,-0.1186,0.1005,-0.2367,-0.1879,-0.1908,-0.2171,-0.2496,-0.2247,-0.1995,-0.1428,0.2954,-0.4673,-0.3714,-0.3993,-0.1086,-0.1148,-0.0990,-0.1097,-0.1109,0.0156,-0.2001,-0.1482,-0.1814,-0.2624,-0.2404,-0.2709,-0.2265,-0.2784,0.1027,-0.5927,-0.3489,-0.3864,-0.1249,-0.1843,-0.1297,-0.1185,-0.0824,0.2420,-0.2112,-0.1908,-0.1259,-0.1147,-0.2298,-0.1196,-0.1286,0.0939,0.5626,-0.2020,-0.3560,-0.3646
96,-0.1309,-0.1633,-0.1294,-0.1247,-0.1127,0.0907,-0.2503,-0.1897,-0.1937,-0.2066,-0.2330,-0.2132,-0.1815,-0.1112,0.2669,-0.4962,-0.3738,-0.4229,-0.1071,-0.1209,-0.1021,-0.1042,-0.1076,0.0086,-0.2284,-0.1492,-0.1823,-0.2515,-0.2253,-0.2582,-0.2069,-0.2308,0.0747,-0.6665,-0.3528,-0.4000,-0.1244,-0.1831,-0.1315,-0.1137,-0.0733,0.2304,-0.1863,-0.1937,-0.1320,-0.1061,-0.2131,-0.1118,-0.1157,0.0956,0.5375,-0.1551,-0.3557,-0.4011
97,-0.1360,-0.1792,-0.1396,-0.1250,-0.1135,0.0707,-0.2671,-0.1944,-0.2011,-0.2177,-0.2413,-0.2220,-0.1849,-0.1011,0.2143,-0.5327,-0.3798,-0.4473,-0.1135,-0.1352,-0.1148,-0.1038,-0.1100,-0.0044,-0.2649,-0.1531,-0.1841,-0.2615,-0.2380,-0.2660,-0.2063,-0.2448,0.0245,-0.7494,-0.3583,-0.4145,-0.1245,-0.1955,-0.1316,-0.1156,-0.0701,0.2041,-0.1523,-0.1981,-0.1482,-0.1174,-0.2131,-0.1210,-0.1250,0.1429,0.4882,-0.1125,-0.3617,-0.4380
98,-0.1480,-0.2033,-0.1597,-0.1313,-0.1207,0.0412,-0.2885,-0.2021,-0.2119,-0.2503,-0.2739,-0.2520,-0.2081,-0.1233,0.1399,-0.5751,-0.3913,-0.4712,-0.1274,-0.1541,-0.1361,-0.1087,-0.1107,-0.0229,-0.3142,-0.1597,-0.1870,-0.2915,-0.2735,-0.2940,-0.2278,-0.2823,-0.0441,-0.8401,-0.3675,-0.4285,-0.1270,-0.2203,-0.1399,-0.1220,-0.0884,0.1635,-0.1027,-0.2047,-0.1717,-0.1497,-0.2367,-0.1500,-0.1478,0.1480,0.4150,-0.0718,-0.3752,-0.4743
99,-0.1663,-0.2328,-0.1856,-0.1444,-0.1312,0.0052,-0.3141,-0.2122,-0.2281,-0.2987,-0.3251,-0.2970,-0.2488,-0.1606,0.0499,-0.6227,-0.4084,-0.4934,-0.1481,-0.1756,-0.1632,-0.1197,-0.1172,-0.0458,-0.3771,-0.1682,-0.1917,-0.3356,-0.3229,-0.3361,-0.2690,-0.3491,-0.1218,-0.9363,-0.3817,-0.4416,-0.1317,-0.2542,-0.1515,-0.1340,-0.1033,0.1148,-0.0350,-0.2138,-0.2059,-0.1983,-0.2836,-0.1933,-0.1822,0.1632,0.3176,-0.0348,-0.3947,-0.5080
