,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
9,-0.9194,-1.1851,-1.2622,-0.4862,-1.1269,35.8476,-6.0005,9.9223,33.5420,0.4727,0.3189,0.1024,0.3460,-2.4091,65.2347,-11.1607,15.7186,59.0744,-2.2900,-2.7053,-2.7822,-1.8258,-2.9179,18.4210,-5.9352,0.7334,14.4656,-3.4885,-3.3013,-3.7403,-3.7921,-8.2005,40.7304,-14.1570,3.9367,33.2359,2.5039,2.6857,2.6427,2.6748,3.3127,58.0685,-3.4551,25.6630,60.4202,6.7438,6.0658,6.2351,6.9175,7.1882,95.4098,-4.8241,32.3910,92.2357
10,-0.1828,-0.4111,-0.4632,0.2853,-0.4259,37.7210,-6.1593,10.8897,34.2472,1.9700,1.5579,1.4827,2.0466,-0.7065,69.0091,-11.4264,17.7711,61.1447,-1.9390,-2.4314,-2.4117,-1.4614,-2.6024,19.6210,-6.0664,1.0703,14.4455,-2.5815,-2.5899,-2.9242,-2.7620,-7.1510,43.5061,-14.3618,4.7502,34.2071,3.7575,4.2116,4.0249,3.9948,4.5463,60.5816,-3.6033,27.5821,62.4029,8.9783,7.9775,8.3269,9.4555,9.7000,100.2598,-5.1506,36.1417,95.7779
11,0.6482,0.4809,0.4392,1.1449,0.3510,39.1887,-6.2580,11.8700,34.5154,3.6408,2.9172,3.0237,3.9683,1.2038,71.9784,-11.5521,19.8170,62.3339,-1.5342,-2.0985,-1.9907,-1.0619,-2.2264,20.6100,-6.1485,1.4455,14.1703,-1.5308,-1.7692,-1.9799,-1.5690,-5.9372,45.7707,-14.4012,5.6683,34.4370,5.1525,5.9321,5.5807,5.4801,5.8562,62.4432,-3.6943,29.4524,63.7448,11.4100,10.0102,10.6093,12.2771,12.4602,103.9457,-5.3967,39.7087,98.3373
12,1.5524,1.4851,1.4310,2.0831,1.1820,40.2868,-6.2897,12.8459,34.4189,5.4379,4.3766,4.6841,6.0662,3.2583,74.1798,-11.5431,21.8117,62.7433,-1.0943,-1.7091,-1.5304,-0.6344,-1.8145,21.3271,-6.1656,1.8498,13.7233,-0.3848,-0.8673,-0.9503,-0.2516,-4.6308,47.5287,-14.2835,6.6732,34.0679,6.6713,7.8370,7.2957,7.1196,7.2353,63.8864,-3.7438,31.2468,64.4614,14.0000,12.1596,13.0491,15.3333,15.4274,106.5519,-5.5630,43.0108,99.9352
13,2.5183,2.5763,2.4878,3.0777,2.0610,40.9918,-6.2709,13.7962,34.0276,7.3349,5.9213,6.4425,8.3033,5.4277,75.5801,-11.4188,23.7097,62.4960,-0.6316,-1.2811,-1.0523,-0.1904,-1.3640,21.7967,-6.1411,2.2720,13.1678,0.8283,0.0926,0.1329,1.1636,-3.2412,48.7384,-14.0410,7.7353,33.2783,8.3098,9.8963,9.1503,8.8781,8.6618,64.7924,-3.7459,32.9316,64.6062,16.7286,14.4261,15.6445,18.5757,18.5440,108.0633,-5.6451,45.9835,100.5896
14,3.5306,3.7410,3.5971,4.1267,2.9706,41.3414,-6.2007,14.7028,33.4217,9.3093,7.5446,8.2759,10.6492,7.6613,76.2369,-11.2071,25.4753,61.7758,-0.1570,-0.8247,-0.5623,0.2703,-0.8913,21.9899,-6.0741,2.6938,12.5525,2.0870,1.0958,1.2503,2.6586,-1.8133,49.4019,-13.7053,8.8234,32.2546,10.0496,12.0952,11.1229,10.7496,10.1238,65.3290,-3.7003,34.4968,64.2927,19.5746,16.8167,18.3697,21.9584,21.7574,108.6185,-5.6607,48.5887,100.4545
15,4.5862,4.9714,4.7512,5.2099,3.8835,41.3518,-6.0935,15.5435,32.6436,11.3421,9.2459,10.1717,13.0662,9.9342,76.2155,-10.9205,27.0755,60.7464,0.3292,-0.3382,-0.0587,0.7371,-0.4018,21.9457,-5.9747,3.0985,11.9257,3.3678,2.1373,2.3856,4.2005,-0.3487,49.5629,-13.2967,9.8994,31.1533,11.8833,14.4083,13.1892,12.7015,11.5575,65.4546,-3.6239,35.9187,63.5307,22.5293,19.3382,21.2196,25.4409,25.0089,108.3083,-5.6092,50.8060,99.6825
16,5.6773,6.2591,5.9415,6.3294,4.8373,41.0849,-5.9555,16.3010,31.7874,13.4271,11.0229,12.1241,15.5382,12.1799,75.5798,-10.5904,28.4937,59.5682,0.8233,0.1793,0.4564,1.2163,0.1041,21.6861,-5.8500,3.4691,11.3202,4.6707,3.2138,3.5374,5.7854,1.0789,49.2565,-12.8486,10.9351,30.1307,13.7970,16.8111,15.3291,14.7261,13.0681,65.2915,-3.5184,37.1867,62.5074,25.5769,21.9899,24.1828,28.9899,28.2528,107.2338,-5.5135,52.6399,98.4183
17,6.8014,7.5945,7.1628,7.4730,5.8082,40.5553,-5.7946,16.9640,30.9117,15.5566,12.8752,14.1334,18.0380,14.4038,74.4293,-10.2375,29.7206,58.3756,1.3271,0.7272,0.9860,1.7043,0.6229,21.2536,-5.7087,3.7939,10.7625,5.9938,4.3285,4.7167,7.3935,2.5029,48.5499,-12.3880,11.9031,29.2627,15.7803,19.2781,17.5228,16.7974,14.5972,64.7858,-3.3865,38.2957,61.3255,28.7018,24.7659,27.2417,32.5704,31.4486,105.5325,-5.3816,54.1115,96.8715
18,7.9563,8.9729,8.4150,8.6407,6.8027,39.8439,-5.6226,17.5279,30.0702,17.7300,14.7967,16.2020,20.5576,16.5914,72.8607,-9.8823,30.7545,57.2691,1.8430,1.3100,1.5385,2.2033,1.1580,20.6960,-5.5568,4.0665,10.2796,7.3424,5.4810,5.9337,9.0266,3.9245,47.5096,-11.9372,12.7815,28.6001,17.8215,21.7869,19.7512,18.9111,16.1552,64.0554,-3.2477,39.2467,60.0733,31.8940,27.6519,30.3865,36.1595,34.5589,103.3359,-5.2284,55.2511,95.2080
19,9.1427,10.3910,9.6963,9.8308,7.8154,38.9636,-5.4431,17.9963,29.3111,19.9471,16.7815,18.3344,23.0806,18.7213,70.9679,-9.5427,31.6109,56.2998,2.3808,1.9378,2.1146,2.7232,1.7092,20.0348,-5.4010,4.2842,9.8956,8.7290,6.6739,7.2051,10.6771,5.3262,46.2141,-11.5154,13.5660,28.1442,19.9010,24.3055,22.0075,21.0401,17.7280,63.0881,-3.0963,40.0562,58.8304,35.1329,30.6289,33.6014,39.7293,37.5592,100.7493,-5.0673,56.1040,93.5515
20,10.3575,11.8467,11.0077,11.0415,8.8645,37.9920,-5.2652,18.3791,28.6709,22.2081,18.8243,20.5348,25.6073,20.7980,68.8528,-9.2328,32.3045,55.4897,2.9385,2.6119,2.7236,3.2587,2.2859,19.3284,-5.2477,4.4520,9.6203,10.1621,7.9073,8.5442,12.3574,6.7162,44.7212,-11.1415,14.2527,27.8745,22.0152,26.8261,24.2745,23.1918,19.3448,61.9693,-2.9443,40.7397,57.6752,38.4056,33.6840,36.8752,43.2606,40.4470,97.9313,-4.9027,56.7125,91.9890
21,11.6097,13.3355,12.3513,12.2775,9.9438,36.9591,-5.0932,18.6837,28.1682,24.5129,20.9223,22.8074,28.1252,22.8509,66.6191,-8.9629,32.8561,54.8300,3.5311,3.3326,3.3669,3.8278,2.8889,18.5903,-5.1024,4.5819,9.4627,11.6487,9.1841,9.9695,14.0592,8.1416,43.1180,-10.8229,14.8470,27.7580,24.1550,29.3352,26.5544,25.3389,20.9867,60.7517,-2.7907,41.2916,56.6399,41.7004,36.8055,40.1886,46.7355,43.2199,94.9980,-4.7480,57.1195,90.5515
22,12.8905,14.8579,13.7239,13.5371,11.0786,35.9070,-4.9285,18.9267,27.8051,26.8623,23.0713,25.1540,30.6422,24.8852,64.3440,-8.7348,33.2940,54.3183,4.1533,4.1060,4.0442,4.4240,3.5334,17.8577,-4.9657,4.6848,9.4132,13.1990,10.5009,11.4830,15.8021,9.6088,41.4543,-10.5625,15.3637,27.7602,26.3088,31.8208,28.8394,27.4915,22.6903,59.4691,-2.6383,41.7333,55.7506,45.0033,39.9883,43.5435,50.1426,45.8797,92.0597,-4.6031,57.3710,89.2886
23,14.2117,16.4094,15.1320,14.8277,12.2639,34.8824,-4.7769,19.1214,27.5842,29.2585,25.2725,27.5794,33.1533,26.9322,62.1168,-8.5559,33.6387,53.9361,4.8216,4.9261,4.7640,5.0607,4.2180,17.1571,-4.8455,4.7755,9.4757,14.8204,11.8610,13.0943,17.5837,11.1426,39.7985,-10.3683,15.8121,27.8592,28.4725,34.2839,31.1288,29.6403,24.4444,58.1917,-2.4853,42.0695,55.0060,48.3073,43.2303,46.9356,53.4734,48.4645,89.2264,-4.4735,57.5019,88.1895
24,15.5694,17.9925,16.5763,16.1473,13.5240,33.9039,-4.6375,19.2815,27.4982,31.7027,27.5243,30.0857,35.6642,29.0030,60.0066,-8.4204,33.9117,53.6636,5.5303,5.7914,5.5244,5.7333,4.9577,16.4932,-4.7408,4.8667,9.6405,16.5171,13.2579,14.8048,19.4113,12.7436,38.2116,-10.2292,16.2027,28.0287,30.6474,36.7345,33.4282,31.7900,26.2833,56.9607,-2.3324,42.3089,54.4075,51.6091,46.5384,50.3683,56.7302,51.0006,86.5712,-4.3624,57.5492,87.2479
25,16.9721,19.6058,18.0584,17.5088,14.8583,33.0290,-4.5106,19.4205,27.5272,34.1997,29.8378,32.6705,38.1888,31.1738,58.0691,-8.3253,34.1346,53.5116,6.2896,6.6950,6.3263,6.4551,5.7533,15.9189,-4.6516,4.9681,9.8849,18.2965,14.7063,16.6172,21.3000,14.5072,36.7407,-10.1412,16.5461,28.2661,32.8352,39.1840,35.7404,33.9468,28.2029,55.8173,-2.1795,42.4684,53.9505,54.9088,49.9157,53.8311,59.9226,53.5225,84.1551,-4.2689,57.5484,86.4938
