,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle,angle
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
78,0.7769,1.0278,0.8877,0.7494,0.6521,0.8077,0.7183,1.1843,0.9862,0.8696,1.0976,0.8673,0.7727,0.6752,0.8654,0.8048,1.3182,1.0898,-18.5890,-18.4364,-18.9808,-17.7851,-17.0976,-28.0224,-1.6120,-23.5657,-15.7589,-19.2908,-19.5454,-19.5902,-19.7831,-14.8432,-27.8588,-2.7903,-24.8282,-13.8662
79,0.7867,1.0408,0.8989,0.7589,0.6604,0.8179,0.7274,1.1993,0.9987,0.8806,1.1115,0.8783,0.7824,0.6837,0.8763,0.8149,1.3349,1.1036,-18.2217,-18.2189,-18.6483,-17.3893,-16.7149,-27.8878,-1.8238,-21.6340,-15.3569,-18.6518,-18.7533,-18.9519,-19.0056,-14.3140,-27.8867,-3.0291,-22.7330,-13.7681
80,0.7966,1.0538,0.9101,0.7684,0.6687,0.8282,0.7365,1.2143,1.0112,0.8916,1.1254,0.8893,0.7922,0.6923,0.8873,0.8251,1.3516,1.1174,-17.8964,-18.1627,-18.4100,-17.0423,-16.3568,-27.9487,-2.0841,-19.8251,-14.9973,-18.1081,-18.1300,-18.4390,-18.3041,-13.8773,-28.1490,-3.3058,-20.7318,-13.7433
81,0.8064,1.0668,0.9214,0.7778,0.6769,0.8384,0.7456,1.2293,1.0237,0.9026,1.1393,0.9003,0.8020,0.7008,0.8982,0.8353,1.3683,1.1312,-17.6132,-18.2574,-18.2766,-16.7447,-16.0153,-28.2162,-2.3855,-18.1860,-14.6770,-17.6861,-17.6966,-18.0638,-17.7050,-13.5969,-28.6785,-3.6227,-18.8675,-13.7835
82,0.8162,1.0799,0.9326,0.7873,0.6852,0.8486,0.7546,1.2443,1.0362,0.9136,1.1532,0.9113,0.8118,0.7094,0.9092,0.8455,1.3850,1.1450,-17.3831,-18.5049,-18.2457,-16.5093,-15.6986,-28.7033,-2.7057,-16.7502,-14.4148,-17.4112,-17.4693,-17.8276,-17.2395,-13.5362,-29.5096,-3.9751,-17.1780,-13.8737
83,0.8261,1.0929,0.9439,0.7968,0.6934,0.8588,0.7637,1.2593,1.0486,0.9246,1.1671,0.9222,0.8216,0.7179,0.9201,0.8557,1.4017,1.1588,-17.2134,-18.8890,-18.2911,-16.3481,-15.4230,-29.4186,-3.0206,-15.5173,-14.2435,-17.3028,-17.4381,-17.7326,-16.9367,-13.7288,-30.6495,-4.3491,-15.7037,-13.9957
84,0.8359,1.1059,0.9551,0.8063,0.7017,0.8690,0.7728,1.2743,1.0611,0.9356,1.1810,0.9332,0.8313,0.7265,0.9311,0.8659,1.4184,1.1725,-17.1159,-19.3805,-18.3996,-16.2699,-15.2085,-30.3740,-3.3223,-14.4717,-14.1714,-17.3856,-17.5999,-17.7917,-16.8278,-14.1875,-32.0760,-4.7297,-14.4475,-14.1391
85,0.8457,1.1189,0.9663,0.8158,0.7099,0.8793,0.7819,1.2893,1.0736,0.9466,1.1949,0.9442,0.8411,0.7350,0.9421,0.8761,1.4350,1.1863,-17.1097,-19.9556,-18.5862,-16.2715,-15.0741,-31.5807,-3.6189,-13.6009,-14.1791,-17.6768,-17.9582,-18.0167,-16.9375,-14.8952,-33.7369,-5.1083,-13.4032,-14.2928
86,0.8556,1.1319,0.9776,0.8253,0.7182,0.8895,0.7910,1.3043,1.0861,0.9576,1.2088,0.9552,0.8509,0.7435,0.9530,0.8863,1.4517,1.2001,-17.1913,-20.5898,-18.8595,-16.3402,-15.0343,-33.0425,-3.9439,-12.8948,-14.2609,-18.1554,-18.4797,-18.3970,-17.2666,-15.7873,-35.5666,-5.4873,-12.5538,-14.4423
87,0.8654,1.1449,0.9888,0.8348,0.7264,0.8997,0.8001,1.3193,1.0986,0.9687,1.2227,0.9661,0.8607,0.7521,0.9640,0.8964,1.4684,1.2139,-17.3600,-21.2528,-19.2192,-16.4792,-15.1019,-34.7474,-4.3177,-12.3448,-14.4412,-18.7562,-19.1077,-18.8900,-17.7834,-16.7803,-37.5164,-5.8634,-11.8503,-14.5843
88,0.8752,1.1579,1.0000,0.8442,0.7347,0.9099,0.8092,1.3342,1.1111,0.9797,1.2365,0.9771,0.8705,0.7606,0.9749,0.9066,1.4851,1.2277,-17.6366,-21.9063,-19.6453,-16.6904,-15.2857,-36.6515,-4.7112,-11.9468,-14.7604,-19.3924,-19.7931,-19.4365,-18.4133,-17.7830,-39.5522,-6.2189,-11.2583,-14.7306
89,0.8851,1.1709,1.0113,0.8537,0.7430,0.9202,0.8183,1.3492,1.1235,0.9907,1.2504,0.9881,0.8802,0.7692,0.9859,0.9168,1.5018,1.2415,-18.0061,-22.5122,-20.0909,-16.9581,-15.5725,-38.6753,-5.0989,-11.7045,-15.2420,-19.9981,-20.4832,-19.9865,-19.0575,-18.7075,-41.6264,-6.5415,-10.7760,-14.8933
90,0.8949,1.1839,1.0225,0.8632,0.7512,0.9304,0.8274,1.3642,1.1360,1.0017,1.2643,0.9991,0.8900,0.7777,0.9968,0.9270,1.5185,1.2553,-18.4041,-23.0496,-20.5099,-17.2658,-15.9232,-40.7162,-5.4761,-11.6334,-15.8683,-20.5485,-21.1243,-20.5116,-19.6427,-19.4936,-43.6635,-6.8292,-10.4278,-15.0791
91,0.9047,1.1969,1.0337,0.8727,0.7595,0.9406,0.8365,1.3792,1.1485,1.0127,1.2782,1.0101,0.8998,0.7863,1.0078,0.9372,1.5352,1.2691,-18.7867,-23.5095,-20.8776,-17.5963,-16.3040,-42.6556,-5.8435,-11.7592,-16.6114,-21.0441,-21.6952,-20.9984,-20.1558,-20.1271,-45.5635,-7.0827,-10.2718,-15.3002
92,0.9146,1.2100,1.0450,0.8822,0.7677,0.9508,0.8456,1.3942,1.1610,1.0237,1.2921,1.0210,0.9096,0.7948,1.0187,0.9474,1.5518,1.2829,-19.1366,-23.8839,-21.1919,-17.9308,-16.7045,-44.3775,-6.2056,-12.1029,-17.4335,-21.4892,-22.2101,-21.4369,-20.6241,-20.6430,-47.2148,-7.3057,-10.3658,-15.5723
93,0.9244,1.2230,1.0562,0.8917,0.7760,0.9611,0.8547,1.4092,1.1735,1.0347,1.3060,1.0320,0.9194,0.8034,1.0297,0.9576,1.5685,1.2967,-19.4633,-24.1742,-21.4549,-18.2623,-17.1403,-45.7875,-6.5663,-12.6599,-18.2658,-21.8790,-22.6820,-21.8167,-21.0648,-21.0609,-48.5202,-7.5013,-10.7377,-15.8968
94,0.9343,1.2360,1.0675,0.9012,0.7842,0.9713,0.8638,1.4242,1.1860,1.0457,1.3199,1.0430,0.9291,0.8119,1.0406,0.9678,1.5852,1.3105,-19.8092,-24.3899,-21.6735,-18.5990,-17.6211,-46.8201,-6.9252,-13.3955,-19.0912,-22.2077,-23.0951,-22.1409,-21.4658,-21.3434,-49.4205,-7.6664,-11.3756,-16.2581
95,0.9441,1.2490,1.0787,0.9106,0.7925,0.9815,0.8728,1.4392,1.1984,1.0567,1.3338,1.0540,0.9389,0.8205,1.0516,0.9779,1.6019,1.3243,-20.2032,-24.5411,-21.8771,-18.9619,-18.1118,-47.4468,-7.2778,-14.2638,-19.8742,-22.4650,-23.4341,-22.4208,-21.7714,-21.4057,-49.9431,-7.7966,-12.2172,-16.6404
96,0.9539,1.2620,1.0899,0.9201,0.8007,0.9917,0.8819,1.4542,1.2109,1.0677,1.3477,1.0650,0.9487,0.8290,1.0626,0.9881,1.6186,1.3381,-20.6368,-24.6575,-22.1113,-19.3463,-18.5639,-47.6338,-7.6260,-15.1941,-20.4869,-22.6217,-23.6997,-22.6434,-21.9099,-21.1557,-50.1971,-7.8933,-13.1807,-17.0172
97,0.9638,1.2750,1.1012,0.9296,0.8090,1.0020,0.8910,1.4692,1.2234,1.0787,1.3616,1.0759,0.9585,0.8376,1.0735,0.9983,1.6353,1.3519,-21.0478,-24.7911,-22.4006,-19.6930,-18.9257,-47.3219,-7.9868,-16.0652,-20.7786,-22.6304,-23.8562,-22.7557,-21.8571,-20.6435,-50.2246,-7.9764,-14.1618,-17.3088
98,0.9736,1.2880,1.1124,0.9391,0.8172,1.0122,0.9001,1.4842,1.2359,1.0897,1.3755,1.0869,0.9683,0.8461,1.0845,1.0085,1.6520,1.3657,-21.4010,-24.9924,-22.7489,-19.9741,-19.2424,-46.4988,-8.3898,-16.7514,-20.7402,-22.4945,-23.8621,-22.7302,-21.7056,-20.1822,-49.8494,-8.1000,-14.9788,-17.3937
99,0.9785,1.2945,1.1180,0.9438,0.8214,1.0173,0.9047,1.4917,1.2421,1.0952,1.3824,1.0924,0.9732,0.8504,1.0899,1.0136,1.6603,1.3726,-21.5661,-25.1156,-22.9385,-20.1014,-19.4090,-45.9644,-8.6062,-17.0349,-20.6566,-22.3980,-23.8265,-22.6850,-21.6269,-20.0204,-49.5223,-8.1812,-15.3176,-17.3688
