,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
69,0.6884,0.9107,0.7865,0.6640,0.5779,0.7157,0.6365,1.0494,0.8739,0.0000,1.3996,0.0000,0.0000,0.0000,0.2588,-0.0000,48.6662,41.0650,0.7705,0.9726,0.7685,0.6846,0.5983,0.7668,0.7131,1.1681,0.9656,-0.0000,1.4076,0.0000,0.2705,0.0000,0.0000,1.0681,156.0574,83.7149
70,0.6982,0.9237,0.7978,0.6735,0.5861,0.7259,0.6455,1.0644,0.8864,0.0000,0.4015,0.0000,0.0000,0.0000,-0.0000,0.0000,27.2506,29.3306,0.7815,0.9865,0.7795,0.6944,0.6068,0.7777,0.7233,1.1847,0.9794,0.0000,0.1763,0.0000,0.0000,0.0000,0.0000,0.8330,113.1175,56.9975
71,0.7081,0.9367,0.8090,0.6830,0.5944,0.7361,0.6546,1.0794,0.8988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9890,20.2779,0.7925,1.0004,0.7905,0.7042,0.6153,0.7887,0.7335,1.2014,0.9932,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.5138,79.6341,36.8731
72,0.7179,0.9498,0.8203,0.6925,0.6026,0.7464,0.6637,1.0944,0.9113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8313,14.7407,0.8035,1.0142,0.8015,0.7140,0.6239,0.7997,0.7436,1.2181,1.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1532,54.8973,22.1872
73,0.7277,0.9628,0.8315,0.7020,0.6109,0.7566,0.6728,1.1094,0.9238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7787,11.0856,0.8145,1.0281,0.8124,0.7238,0.6324,0.8106,0.7538,1.2348,1.0208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.5998,11.8815
74,0.7376,0.9758,0.8427,0.7114,0.6191,0.7668,0.6819,1.1244,0.9363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,8.3111,0.8256,1.0420,0.8234,0.7335,0.6410,0.8216,0.7640,1.2515,1.0346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.4882,5.2239
75,0.7474,0.9888,0.8540,0.7209,0.6274,0.7770,0.6910,1.1394,0.9488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1030,0.8366,1.0559,0.8344,0.7433,0.6495,0.8325,0.7742,1.2682,1.0484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1779,1.5775
76,0.7572,1.0018,0.8652,0.7304,0.6356,0.7873,0.7001,1.1543,0.9613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7617,0.8476,1.0698,0.8454,0.7531,0.6581,0.8435,0.7844,1.2849,1.0622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9366,0.2196
77,0.7671,1.0148,0.8764,0.7399,0.6439,0.7975,0.7092,1.1693,0.9737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4607,0.8586,1.0837,0.8564,0.7629,0.6666,0.8544,0.7946,1.3015,1.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3217,0.0000
78,0.7769,1.0278,0.8877,0.7494,0.6521,0.8077,0.7183,1.1843,0.9862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2316,0.8696,1.0976,0.8673,0.7727,0.6752,0.8654,0.8048,1.3182,1.0898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4503,0.0000
79,0.7867,1.0408,0.8989,0.7589,0.6604,0.8179,0.7274,1.1993,0.9987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.8806,1.1115,0.8783,0.7824,0.6837,0.8763,0.8149,1.3349,1.1036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
80,0.7966,1.0538,0.9101,0.7684,0.6687,0.8282,0.7365,1.2143,1.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8916,1.1254,0.8893,0.7922,0.6923,0.8873,0.8251,1.3516,1.1174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,0.8064,1.0668,0.9214,0.7778,0.6769,0.8384,0.7456,1.2293,1.0237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9026,1.1393,0.9003,0.8020,0.7008,0.8982,0.8353,1.3683,1.1312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,0.8162,1.0799,0.9326,0.7873,0.6852,0.8486,0.7546,1.2443,1.0362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9136,1.1532,0.9113,0.8118,0.7094,0.9092,0.8455,1.3850,1.1450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,0.8261,1.0929,0.9439,0.7968,0.6934,0.8588,0.7637,1.2593,1.0486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9246,1.1671,0.9222,0.8216,0.7179,0.9201,0.8557,1.4017,1.1588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,0.8359,1.1059,0.9551,0.8063,0.7017,0.8690,0.7728,1.2743,1.0611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9356,1.1810,0.9332,0.8313,0.7265,0.9311,0.8659,1.4184,1.1725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,0.8457,1.1189,0.9663,0.8158,0.7099,0.8793,0.7819,1.2893,1.0736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9466,1.1949,0.9442,0.8411,0.7350,0.9421,0.8761,1.4350,1.1863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,0.8556,1.1319,0.9776,0.8253,0.7182,0.8895,0.7910,1.3043,1.0861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9576,1.2088,0.9552,0.8509,0.7435,0.9530,0.8863,1.4517,1.2001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,0.8654,1.1449,0.9888,0.8348,0.7264,0.8997,0.8001,1.3193,1.0986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9687,1.2227,0.9661,0.8607,0.7521,0.9640,0.8964,1.4684,1.2139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,0.8752,1.1579,1.0000,0.8442,0.7347,0.9099,0.8092,1.3342,1.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9797,1.2365,0.9771,0.8705,0.7606,0.9749,0.9066,1.4851,1.2277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,0.8851,1.1709,1.0113,0.8537,0.7430,0.9202,0.8183,1.3492,1.1235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9907,1.2504,0.9881,0.8802,0.7692,0.9859,0.9168,1.5018,1.2415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,0.8949,1.1839,1.0225,0.8632,0.7512,0.9304,0.8274,1.3642,1.1360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0017,1.2643,0.9991,0.8900,0.7777,0.9968,0.9270,1.5185,1.2553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,0.9047,1.1969,1.0337,0.8727,0.7595,0.9406,0.8365,1.3792,1.1485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0127,1.2782,1.0101,0.8998,0.7863,1.0078,0.9372,1.5352,1.2691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,0.9146,1.2100,1.0450,0.8822,0.7677,0.9508,0.8456,1.3942,1.1610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0237,1.2921,1.0210,0.9096,0.7948,1.0187,0.9474,1.5518,1.2829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,0.9244,1.2230,1.0562,0.8917,0.7760,0.9611,0.8547,1.4092,1.1735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0347,1.3060,1.0320,0.9194,0.8034,1.0297,0.9576,1.5685,1.2967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
94,0.9343,1.2360,1.0675,0.9012,0.7842,0.9713,0.8638,1.4242,1.1860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0457,1.3199,1.0430,0.9291,0.8119,1.0406,0.9678,1.5852,1.3105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,0.9441,1.2490,1.0787,0.9106,0.7925,0.9815,0.8728,1.4392,1.1984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0567,1.3338,1.0540,0.9389,0.8205,1.0516,0.9779,1.6019,1.3243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,0.9539,1.2620,1.0899,0.9201,0.8007,0.9917,0.8819,1.4542,1.2109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0677,1.3477,1.0650,0.9487,0.8290,1.0626,0.9881,1.6186,1.3381,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
97,0.9638,1.2750,1.1012,0.9296,0.8090,1.0020,0.8910,1.4692,1.2234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0787,1.3616,1.0759,0.9585,0.8376,1.0735,0.9983,1.6353,1.3519,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,0.9736,1.2880,1.1124,0.9391,0.8172,1.0122,0.9001,1.4842,1.2359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0897,1.3755,1.0869,0.9683,0.8461,1.0845,1.0085,1.6520,1.3657,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
99,0.9785,1.2945,1.1180,0.9438,0.8214,1.0173,0.9047,1.4917,1.2421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0952,1.3824,1.0924,0.9732,0.8504,1.0899,1.0136,1.6603,1.3726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
