,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
13,0.1377,0.1821,0.1573,0.1328,0.1156,0.1431,0.1273,0.2099,0.1748,626.5478,537.3821,567.6589,620.5294,696.5864,647.1282,637.2113,501.7943,695.4590,0.1541,0.1945,0.1537,0.1369,0.1197,0.1534,0.1426,0.2336,0.1931,862.7029,715.0078,853.5310,940.9962,1111.2452,978.5193,905.2590,685.1904,1027.8178
14,0.1475,0.1952,0.1685,0.1423,0.1238,0.1534,0.1364,0.2249,0.1873,624.3403,546.1533,572.8588,619.2212,685.2354,650.2690,625.9061,522.7416,686.6453,0.1651,0.2084,0.1647,0.1467,0.1282,0.1643,0.1528,0.2503,0.2069,870.2637,752.8920,862.9718,935.9020,1091.6591,983.3347,889.6277,731.4224,1025.4494
15,0.1573,0.2082,0.1798,0.1518,0.1321,0.1636,0.1455,0.2399,0.1997,614.9974,549.5003,571.6664,611.1631,664.3118,647.4132,611.9559,539.6745,673.0656,0.1761,0.2223,0.1757,0.1565,0.1367,0.1753,0.1630,0.2670,0.2207,869.3736,783.7690,864.0599,920.1240,1056.4879,979.0128,870.2489,768.9309,1016.3171
16,0.1672,0.2212,0.1910,0.1613,0.1403,0.1738,0.1546,0.2549,0.2122,599.5924,547.9787,564.9747,597.2719,635.7533,639.0555,596.0886,551.9823,655.4138,0.1871,0.2362,0.1866,0.1663,0.1453,0.1862,0.1732,0.2837,0.2345,861.6707,807.4060,858.5103,895.7317,1009.5916,966.8365,849.1275,797.0883,1002.1633
17,0.1770,0.2342,0.2023,0.1707,0.1486,0.1840,0.1637,0.2698,0.2247,579.2220,542.4559,554.4192,578.2827,601.4813,625.9718,578.8270,559.4647,635.8894,0.1981,0.2501,0.1976,0.1760,0.1538,0.1972,0.1834,0.3004,0.2483,848.5845,823.7236,847.7567,865.4755,954.2258,947.9584,827.8262,816.0863,983.4488
18,0.1869,0.2472,0.2135,0.1802,0.1568,0.1943,0.1728,0.2848,0.2372,555.5202,534.4612,541.7786,555.7040,563.3951,609.1878,560.6388,562.5619,616.6629,0.2091,0.2640,0.2086,0.1858,0.1624,0.2081,0.1936,0.3170,0.2621,831.3022,832.9108,832.8211,832.1101,893.2442,923.5285,807.4444,826.8362,960.4060
19,0.1967,0.2602,0.2247,0.1897,0.1651,0.2045,0.1818,0.2998,0.2497,530.4927,525.8078,528.4381,531.4482,523.6195,589.9758,542.5380,562.0866,598.4917,0.2201,0.2779,0.2196,0.1956,0.1709,0.2191,0.2037,0.3337,0.2759,810.8332,835.5696,814.5900,797.4401,829.5674,894.8583,788.9064,830.5139,934.2729
20,0.2065,0.2732,0.2360,0.1992,0.1734,0.2147,0.1909,0.3148,0.2622,506.1750,518.0435,515.4586,507.4878,484.3224,569.6453,526.1837,558.9599,581.2138,0.2312,0.2918,0.2306,0.2054,0.1795,0.2300,0.2139,0.3504,0.2897,788.3632,832.7416,794.2769,762.5572,766.0866,863.4645,773.0436,828.3748,905.9756
21,0.2164,0.2862,0.2472,0.2087,0.1816,0.2249,0.2000,0.3298,0.2746,484.1306,511.8606,503.6453,485.5103,447.2268,549.1039,512.5758,553.7897,564.7116,0.2422,0.3057,0.2415,0.2152,0.1880,0.2410,0.2241,0.3671,0.3035,765.3265,825.7375,773.3622,728.3905,705.0499,830.7559,760.6047,821.6640,875.9020
22,0.2262,0.2992,0.2584,0.2182,0.1899,0.2352,0.2091,0.3448,0.2871,465.1436,507.0743,493.4725,466.5698,413.6130,528.8317,501.9140,546.7905,549.0961,0.2532,0.3196,0.2525,0.2250,0.1966,0.2519,0.2343,0.3838,0.3173,743.1518,816.0546,753.2807,695.8715,647.8872,797.9387,752.1542,811.3770,845.4943
