,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
59,0.2948777973651886,0.4055585265159607,0.32278963923454285,0.3090873658657074,0.24867568910121918,0.25487035512924194,-0.005482065957039595,0.85948646068573,0.5027905702590942,0.4348045587539673,0.5896201729774475,0.44745591282844543,0.4091830849647522,0.2457197904586792,0.25842010974884033,-0.015205426141619682,1.051713466644287,0.6802021861076355
60,0.22659039497375488,0.31369748711586,0.24628186225891113,0.24220862984657288,0.1935371309518814,0.19971917569637299,-0.005014433525502682,0.7854927778244019,0.44093167781829834,0.34389209747314453,0.4821658730506897,0.3550446331501007,0.3295779526233673,0.1851930320262909,0.19856572151184082,-0.01229050476104021,1.0047712326049805,0.6145199537277222
61,0.16878899931907654,0.2337157130241394,0.181261345744133,0.18435582518577576,0.14696262776851654,0.15230856835842133,-0.004913662560284138,0.7052091956138611,0.3799055814743042,0.2634787857532501,0.38134005665779114,0.272886723279953,0.2595131993293762,0.13381189107894897,0.14746305346488953,-0.010141318663954735,0.9430468678474426,0.5467984676361084
62,0.12113530933856964,0.16754865646362305,0.12808433175086975,0.13591045141220093,0.10790932178497314,0.11271043866872787,-0.005114274565130472,0.6211332678794861,0.32116109132766724,0.1950770616531372,0.2907963991165161,0.20271484553813934,0.19973863661289215,0.0923846885561943,0.10518299788236618,-0.008638443425297737,0.8680935502052307,0.4784720242023468
63,0.08369724452495575,0.11538027971982956,0.08627474308013916,0.09690985828638077,0.07688402384519577,0.0803493782877922,-0.005505474749952555,0.535788357257843,0.2663571536540985,0.13845056295394897,0.21309909224510193,0.1444869041442871,0.14997714757919312,0.059919584542512894,0.07156919687986374,-0.007690946105867624,0.7826271653175354,0.4112350642681122
64,0.054662469774484634,0.07535052299499512,0.054860297590494156,0.06566129624843597,0.05202780291438103,0.05485245957970619,-0.005970012862235308,0.4516797363758087,0.2163233906030655,0.09397359192371368,0.14895009994506836,0.09859959781169891,0.10948255658149719,0.034574683755636215,0.04574098438024521,-0.007194685749709606,0.6904067993164062,0.3463520109653473
65,0.03358376398682594,0.04628117009997368,0.03198610618710518,0.04258892312645912,0.03358016163110733,0.03573695570230484,-0.006494706030935049,0.3712036907672882,0.1720285713672638,0.0600004680454731,0.09888654202222824,0.06334908306598663,0.0776228979229927,0.016252005472779274,0.02668251469731331,-0.007021798286587,0.5952563881874084,0.2854670584201813
66,0.018412448465824127,0.02631731517612934,0.016214849427342415,0.02514072135090828,0.019629277288913727,0.02133166231215,-0.006976062431931496,0.29666921496391296,0.1340135782957077,0.03524978831410408,0.0613839253783226,0.037556037306785583,0.05293387174606323,0.003781354520469904,0.013236787170171738,-0.007089652586728334,0.5014169216156006,0.22978276014328003
67,0.008400866761803627,0.01305640023201704,0.005970423575490713,0.013331075198948383,0.009871183894574642,0.011189150623977184,-0.00738645950332284,0.22962534427642822,0.10211268067359924,0.018277941271662712,0.03489292040467262,0.019865985959768295,0.0344574861228466,-0.0049269432201981544,0.004081330727785826,-0.007325679995119572,0.4121571183204651,0.18040604889392853
68,0.0017171893268823624,0.004581322427839041,-0.0004136005009058863,0.005124468356370926,0.003125934861600399,0.004201550502330065,-0.0077040065079927444,0.1712028980255127,0.07618626207113266,0.006938616745173931,0.01704464480280876,0.007894986309111118,0.020890438929200172,-0.009887665510177612,-0.001767949084751308,-0.00763874314725399,0.3302844762802124,0.13798902928829193
69,-0.0022496008314192295,-0.0006032453384250402,-0.004051953554153442,-4.125658961129375e-05,-0.0013278815895318985,-0.0004343698383308947,-0.00795745849609375,0.12246688455343246,0.05577733740210533,-4.488437116378918e-05,0.0058965254575014114,0.0004732921370305121,0.011109753511846066,-0.012391229160130024,-0.0053147608414292336,-0.007996306754648685,0.25790610909461975,0.10266128182411194
70,-0.004600913263857365,-0.003655009903013706,-0.0059656850062310696,-0.0032462456729263067,-0.00412324070930481,-0.0033512129448354244,-0.00809685792773962,0.08350207656621933,0.0401199609041214,-0.0041061509400606155,-0.0005449503078125417,-0.0038470968138426542,0.004306752700358629,-0.01330077275633812,-0.007299710065126419,-0.008352074772119522,0.19567491114139557,0.07385982573032379
71,-0.005821707658469677,-0.005379205569624901,-0.0068550691939890385,-0.005088035017251968,-0.005796368699520826,-0.005118825007230043,-0.00820187758654356,0.05362392216920853,0.027825811877846718,-0.0062818401493132114,-0.003928801044821739,-0.0062162261456251144,-0.00038034270983189344,-0.013144917786121368,-0.008235355839133263,-0.008673620410263538,0.14413325488567352,0.05137117952108383
72,-0.00641444930806756,-0.006318232510238886,-0.007180190645158291,-0.0060356357134878635,-0.006710009649395943,-0.006064787041395903,-0.008219834417104721,0.031896404922008514,0.019341925159096718,-0.00725629972293973,-0.005502146203070879,-0.007304611150175333,-0.0034967567771673203,-0.012279018759727478,-0.00860455259680748,-0.008939673192799091,0.10296885669231415,0.03431672602891922
73,-0.006687955930829048,-0.006821908056735992,-0.007266688160598278,-0.006554130930453539,-0.007209147792309523,-0.006571950390934944,-0.008215990848839283,0.01695035584270954,0.01308367121964693,-0.007673806510865688,-0.006036228500306606,-0.007778432685881853,-0.00552872521802783,-0.011206312105059624,-0.008595244027674198,-0.009146997705101967,0.07089907675981522,0.021724222227931023
74,-0.006809913087636232,-0.007095100358128548,-0.0072921765968203545,-0.006779850926250219,-0.007443100679665804,-0.006763185374438763,-0.008178659714758396,0.007303851190954447,0.008405966684222221,-0.007812409661710262,-0.00615682965144515,-0.007933576591312885,-0.006888338830322027,-0.010118921287357807,-0.008474651724100113,-0.0092947818338871,0.046798691153526306,0.012841218151152134
75,-0.006919099949300289,-0.007279382552951574,-0.007342930883169174,-0.006944062653928995,-0.007573737297207117,-0.006830212194472551,-0.008127812296152115,0.0015220134519040585,0.004927624482661486,-0.007878134958446026,-0.006153041031211615,-0.00800881814211607,-0.007733678910881281,-0.009327905252575874,-0.008299796842038631,-0.00936275813728571,0.029380369931459427,0.006809531711041927
76,-0.007046594750136137,-0.007456946652382612,-0.007461472414433956,-0.007067509926855564,-0.00768612464889884,-0.006804009433835745,-0.00806195754557848,-0.001672848709858954,0.0023127999156713486,-0.007984594441950321,-0.006219055969268084,-0.00810239091515541,-0.008368079550564289,-0.008647969923913479,-0.008121168240904808,-0.009385568089783192,0.017065174877643585,0.002890245756134391
